M|MECHX|201404|AAON|13|21|163|22414|22414|0|0|0|0|0|0|0|0|||||||||                                                                                                        
M|MECHX|201404|AAON|14|21|29|3903|3903|0|0|0|0|0|0|0|0|||||||||                                                                                                           
M|MECHX|201404|AAON|15|21|15|1981|1981|0|0|0|0|0|0|0|0|||||||||                                                                                                           
M|MECHX|201404|AAP|12|21|22|2444|2144|300|0|300|0|0|0|0|-.0033|.0133|0|0|0|300|0|0|0|0                                                                                    
M|MECHX|201404|AAP|12|23|2|4000|4000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0                                                                                                    
M|MECHX|201404|AAP|13|21|71|7100|7100|0|0|0|0|0|0|0|0|||||||||                                                                                                            
M|MECHX|201404|AAP|14|21|19|1900|1328|572|0|420|100|52|0|0|.0403|||||||||                                                                                                 
M|MECHX|201404|AAP|15|21|92|23200|23200|0|0|0|0|0|0|0|0|||||||||                                                                                                          
M|MECHX|201404|AAPL|12|21|68|11748|10898|850|0|850|0|0|0|0|1.0094|.2359|0|0|0|300|0|550|.1073|0                                                                           
M|MECHX|201404|AAPL|12|22|18|18862|13900|4962|0|4962|0|0|0|0|1.0792|.8534|0|0|0|0|0|4962|.4014|0                                                                          
M|MECHX|201404|AAPL|12|23|13|39320|0|39320|0|39320|0|0|0|0|1.256|1.3017|0|0|0|0|0|39320|.6037|0                                                                           
M|MECHX|201404|AAPL|12|24|5|35140|0|35140|0|35140|0|0|0|0|1.7966|1.294|0|0|0|0|0|35140|.5933|0                                                                            
M|MECHX|201404|AAPL|13|21|59|8141|7439|702|0|702|0|0|0|0|.0657|||||||||                                                                                                   
M|MECHX|201404|AAPL|13|22|10|6600|5600|1000|0|1000|0|0|0|0|.07|||||||||                                                                                                   
M|MECHX|201404|AAPL|13|23|1|2000|0|2000|0|2000|0|0|0|0|.26|||||||||                                                                                                       
M|MECHX|201404|AAPL|13|24|3|20100|0|20100|0|20100|0|0|0|0|0|||||||||                                                                                                      
